Group,Mask,Mask_Label,ValidPct,n_days,coverage_pct,pearson_r,spearman_r,R2,RMSE,MAE
12-30,G6,Low–Mid Rural,60,1288,27.224688226590573,0.5927910331518664,0.5202990430680311,0.18558206630373264,0.9024510699734736,0.7301507272518051
12-30,G6,Low–Mid Rural,65,1151,24.3288945254703,0.5691837610165709,0.492593223207217,0.13836752203314207,0.9282416053845345,0.7462755050785272
12-30,G6,Low–Mid Rural,70,993,20.989220038046923,0.5699074600751067,0.4553319686470222,0.13981492015021368,0.9274616325486389,0.7496975651170925
12-30,G6,Low–Mid Rural,75,849,17.94546607482562,0.5402661998629299,0.4133070881694507,0.0805323997258598,0.9588887319570192,0.7739214627534262
12-30,G6,Low–Mid Rural,80,689,14.563517226801945,0.5146537785014783,0.3528163485554762,0.029307557002956508,0.9852372521362778,0.8045319138704914
12-30,G6,Low–Mid Rural,85,519,10.970196575776791,0.5109306598055934,0.33033736842845335,0.02186131961118709,0.9890089384777131,0.8148271509013384
12-30,G6,Low–Mid Rural,90,310,6.552525893045867,0.46205928632802873,0.1625721422088534,-0.07588142734394232,1.0372470425814395,0.8714990802034721
12-30,G6,Low–Mid Rural,95,105,2.219403931515536,0.5050243706707437,0.3260539397407464,0.010048741341487144,0.9949629433594563,0.8378522473969219
11-30,G7,Rural Settlements,5,2902,61.340097231029375,0.32836856873338577,0.27133398959170857,-0.34326286253322835,1.1589921753546177,0.9670109920711495
11-30,G7,Rural Settlements,10,2672,56.47854576199535,0.33873567111360203,0.2797115289645826,-0.32252865777279616,1.1500124598337167,0.9623620185978267
11-30,G7,Rural Settlements,15,2497,52.77953920946946,0.3475669078537434,0.2836801814748813,-0.3048661842925131,1.142307394834032,0.953402007762071
11-30,G7,Rural Settlements,20,2342,49.50327626294652,0.35040326767619945,0.28500041944201754,-0.29919346464760155,1.1398216810745447,0.9503008435241037
11-30,G7,Rural Settlements,25,2217,46.86112872542803,0.34835669764771604,0.28213357900048097,-0.3032866047045677,1.1416157868147092,0.947608157907149
11-30,G7,Rural Settlements,30,2096,44.303529909110125,0.3543318558572574,0.2878458612621429,-0.29133628828548486,1.1363697850107968,0.9416764140769842
11-30,G7,Rural Settlements,35,1969,41.61910801099133,0.34911366642846847,0.29171622348788456,-0.30177266714306317,1.1409525262442182,0.9391532395473088
11-30,G7,Rural Settlements,40,1851,39.12492073557387,0.3472175621834426,0.2914077457675847,-0.30556487563311485,1.1426131784786637,0.940900617799588
11-30,G7,Rural Settlements,45,1738,36.736419361657155,0.355856868650438,0.2989185558848733,-0.28828626269912405,1.1350269876523305,0.937450341636308
11-30,G7,Rural Settlements,50,1617,34.17882054533925,0.3501254341200485,0.29867803262726517,-0.29974913175990325,1.1400654067902873,0.9344418709425975
11-30,G7,Rural Settlements,55,1493,31.557810188120904,0.34726312245742,0.30236900681035095,-0.30547375508516006,1.1425733040313693,0.9288475626226002
11-30,G7,Rural Settlements,60,1347,28.4717818642993,0.3322940731951348,0.2794350960362937,-0.3354118536097299,1.155600213572899,0.9441702202082121
11-30,G7,Rural Settlements,65,1207,25.512576622278587,0.3323686233885696,0.2721362815392482,-0.3352627532228609,1.1555356996747703,0.9352872843178853
11-30,G7,Rural Settlements,70,1056,22.320862396956244,0.3565011079118738,0.2832063234934761,-0.2869977841762519,1.1344592474726682,0.9196643022210025
11-30,G7,Rural Settlements,75,874,18.473895582329316,0.3375669621039428,0.2507343676936196,-0.32486607579211446,1.151028268893564,0.9372337111553689
11-30,G7,Rural Settlements,80,703,14.859437751004014,0.279918618912804,0.1848984021884229,-0.4401627621743922,1.2000678156564286,0.9613162404473923
11-30,G7,Rural Settlements,85,503,10.632001690974423,0.21685939251036454,0.09780689986373323,-0.5662812149792709,1.2515115720516814,1.0044052437758935
11-30,G7,Rural Settlements,90,291,6.150919467343057,0.14580864398940713,0.014912330147015885,-0.7083827120211856,1.3070511512642442,1.0670907766540603
11-30,G7,Rural Settlements,95,97,2.050306489114352,0.03434726762776579,0.025227653769571215,-0.9313054647444676,1.3897141665624873,1.1266087083074803
